Index;Metro;Mean Software Developer Salary (adjusted);Mean Software Developer Salary (unadjusted);Mean Unadjusted Salary (all occupations);Number of Software Developer Jobs;Median Home Price;City;Cost of Living avg;Rent avg;Cost of Living Plus Rent avg
0;Columbus;117552.0;108500.0;51260.0;13430.0;192000.0;Columbus;984.8;1421.5;2856.5
1;Seattle-Tacoma-Bellevue;117323.0;131167.0;65400.0;65760.0;491600.0;Seattle;1250.7;2528.2;4091.5
2;Charlotte-Concord-Gastonia;114122.0;107046.0;51000.0;12800.0;208500.0;Charlotte;989.9;1974.5;3221.1
3;Colorado Springs;112118.0;111670.0;51430.0;5780.0;296500.0;Colorado Springs;1049.2;1594.0;3094.5
4;Dayton;111616.0;99338.0;50100.0;4240.0;124100.0;Dayton;961.2;1072.1;2586.0
5;Greensboro-High Point;111050.0;99612.0;44570.0;1560.0;136000.0;Greensboro;992.9;1445.4;2888.0
6;San Francisco-Oakland-Hayward;111017.0;142101.0;72400.0;59550.0;946700.0;San Francisco;1326.9;4163.3;5290.7
7;San Francisco-Oakland-Hayward;111017.0;142101.0;72400.0;59550.0;946700.0;Oakland;1313.0;3371.1;4754.9
8;San Antonio-New Braunfels;110898.0;104688.0;46650.0;5410.0;194100.0;San Antonio;884.3;1469.5;2688.9
9;Dallas-Fort Worth-Arlington;110891.0;111113.0;52590.0;46130.0;243900.0;Fort Worth;995.0;1551.7;2960.0
10;Dallas-Fort Worth-Arlington;110891.0;111113.0;52590.0;46130.0;243900.0;Dallas;958.7;1926.5;3128.6
11;Durham-Chapel Hill;110313.0;105018.0;59940.0;6800.0;243700.0;Durham;994.3;1616.2;2999.9
12;Atlanta-Sandy Springs-Roswell;109849.0;106334.0;52750.0;38110.0;219600.0;Atlanta;1082.3;1865.4;3334.0
13;Cincinnati;109013.0;98112.0;50030.0;8620.0;169900.0;Cincinnati;909.8;58597.6;2775.1
14;Austin-Round Rock;108990.0;109535.0;53810.0;21160.0;311300.0;Austin;939.6;2214.9;3275.7
15;Raleigh;107676.0;103584.0;52580.0;12560.0;267200.0;Raleigh;963.6;1589.4;2922.2
16;Houston-The Woodlands-Sugar Land;107672.0;109503.0;54290.0;20400.0;205600.0;Houston;903.4;1665.8;2852.3
17;Baltimore-Columbia-Towson;107282.0;115006.0;57740.0;16200.0;267800.0;Baltimore;1039.3;1600.5;3078.7
18;Las Vegas-Henderson-Paradise;107175.0;104495.0;45600.0;3900.0;279900.0;Las Vegas;965.6;1467.2;2848.1
19;Tucson;107170.0;101919.0;47610.0;4480.0;206200.0;Tucson;909.1;1062.1;130097.8
20;Salt Lake City;106291.0;105334.0;50920.0;9600.0;366000.0;Salt Lake City;917.7;1625.8;2854.9
